system:index,B11_S2A,B11_S2B,B12_S2A,B12_S2B,B1_S2A,B1_S2B,B2_S2A,B2_S2B,B3_S2A,B3_S2B,B4_S2A,B4_S2B,B5_S2A,B5_S2B,B6_S2A,B6_S2B,B7_S2A,B7_S2B,B8A_S2A,B8A_S2B,B8_S2A,B8_S2B,B9_S2A,B9_S2B,WVP_S2A,WVP_S2B,classProb_S2A,classProb_S2B,class_S2A,class_S2B,dist_emd,dist_sam,dist_sed,dist_sid,spc_S2A,spc_S2B,.geo
947,224,205,147,110,261,381,335,422,432,512,393,414,733,747,917,862,964,948,1009,960,718,713,645,577,1350,1423,0.91683626,0.96018034,4.0,4.0,2865.0,0.08249381461626433,46396.0,0.04176123374875492,28.152584,23.46857,"{""type"":""MultiPoint"",""coordinates"":[]}"
948,48,56,57,43,288,411,396,504,586,653,518,527,903,916,690,671,714,720,475,448,634,604,331,303,1350,1423,0.8086865,0.39555943,4.0,4.0,3523.0,0.07736120693539153,39931.0,0.03472311958129971,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
949,53,50,46,42,288,411,432,608,700,704,589,610,1001,997,772,720,811,818,605,562,686,686,331,303,1350,1423,0.55501515,0.59307975,4.0,4.0,3444.0,0.09096514212265881,57318.0,0.0434832151072096,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
950,81,82,57,63,241,361,440,537,618,662,560,598,923,931,815,817,890,899,690,678,766,692,678,725,1350,1423,0.4793866,0.4222521,4.0,4.0,3650.0,0.06977514197518757,40533.0,0.028380550707295213,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
951,61,39,45,42,259,344,324,420,451,484,410,423,648,667,522,450,595,539,381,367,647,570,440,353,1350,1423,0.66078544,0.97996694,4.0,4.0,1407.0,0.10391325309842114,45896.0,0.05488655028163966,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
952,52,44,41,50,296,374,380,470,496,530,409,432,560,614,370,344,338,386,225,252,446,424,622,447,1350,1423,0.732472,0.9158453,4.0,4.0,2827.0,0.11942576163718789,59077.0,0.059319825362753556,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
953,56,62,37,46,296,374,378,462,522,546,410,456,618,663,382,358,400,436,227,251,500,468,622,447,1350,1423,0.88186747,0.9363412,4.0,4.0,2679.0,0.11551710354895034,57400.0,0.05565638183884069,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
954,69,54,51,37,294,389,500,578,656,672,586,592,855,867,593,551,654,620,407,398,607,548,455,438,1350,1423,0.7837797,0.51708066,4.0,4.0,1649.0,0.06990191010087671,28066.0,0.02675928494917743,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
955,61,41,56,33,294,389,374,485,541,548,493,488,765,746,715,658,757,706,603,530,750,692,455,438,1350,1423,0.595097,0.74021906,4.0,4.0,1321.0,0.08918765873689667,42871.0,0.04436816452504336,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
956,61,41,56,33,294,389,291,385,443,486,395,404,765,746,715,658,757,706,603,530,709,666,455,438,1350,1423,0.6415786,0.89216185,4.0,4.0,1449.0,0.0881057079579125,39727.0,0.045367187086557244,26.75735,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
957,60,84,48,64,291,384,375,516,588,592,498,532,837,825,658,624,705,659,484,436,678,610,575,568,1350,1423,0.85708314,0.57652134,4.0,4.0,2190.0,0.09134717137758541,46256.0,0.04453620157202852,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
958,102,114,52,57,384,457,575,626,758,788,662,698,1062,1082,870,761,823,898,628,634,754,752,1123,1025,1350,1423,0.8080756,0.5545144,4.0,4.0,1958.0,0.07134311789767146,43174.0,0.018615147330634362,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
959,34,26,36,34,287,398,359,461,514,552,479,483,796,825,779,732,818,792,634,581,751,725,114,50,1350,1423,0.5384644,0.7215166,4.0,4.0,2352.0,0.08353027555049308,40889.0,0.055861518249171405,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
960,250,242,152,131,339,439,392,476,507,533,446,431,822,820,860,781,945,947,901,935,690,670,281,275,1350,1423,0.95887655,0.9915202,4.0,4.0,2016.0,0.06714630947081568,31632.0,0.02257407435938786,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
961,250,242,152,131,339,439,336,420,461,510,436,456,822,820,860,781,945,947,901,935,1110,1044,281,275,1350,1423,0.8805845,0.9849665,4.0,4.0,2343.0,0.07165736746806127,37488.0,0.025364579388187754,52.831924,45.267517,"{""type"":""MultiPoint"",""coordinates"":[]}"
962,437,382,257,206,272,410,364,530,568,572,526,525,883,913,970,951,1121,1179,1237,1257,1206,1252,798,811,1350,1423,0.7471768,0.91722965,4.0,4.0,4830.0,0.07266829810005362,64882.0,0.04170924557756198,45.37242,48.212578,"{""type"":""MultiPoint"",""coordinates"":[]}"
963,207,150,130,92,323,432,344,488,502,542,480,498,723,692,706,583,798,704,848,629,714,540,420,302,1350,1423,0.8525099,0.5352948,4.0,4.0,3632.0,0.1662942309231527,161650.0,0.12162825117161521,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
964,312,215,191,122,387,473,342,487,493,556,508,526,1059,1027,1164,1049,1201,1081,1327,1068,1048,838,738,573,1350,1423,0.52187467,0.9341039,4.0,4.0,4402.0,0.1333305879856391,219268.0,0.08878568904826309,37.532337,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
965,78,79,65,68,346,433,300,488,483,514,406,446,752,782,579,519,571,552,409,328,503,470,375,322,1350,1423,0.83564574,0.5375683,4.0,4.0,3194.0,0.11757382708356195,66133.0,0.07184738785418598,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
966,224,205,147,110,261,381,372,427,468,520,454,455,733,747,917,862,964,948,1009,960,918,866,645,577,1350,1423,0.8431286,0.96288687,4.0,4.0,1691.0,0.07543446515081402,40395.0,0.03444562048085016,36.009388,31.352673,"{""type"":""MultiPoint"",""coordinates"":[]}"
967,48,56,57,43,288,411,407,501,594,659,527,556,903,916,690,671,714,720,475,448,656,650,331,303,1350,1423,0.7884258,0.35036337,4.0,4.0,3677.0,0.07123055198167662,36735.0,0.030545088488492154,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
968,111,94,48,58,241,361,328,440,464,529,393,440,748,787,749,729,745,771,644,583,678,610,678,725,1350,1423,0.94906455,0.66163003,4.0,4.0,4132.0,0.08849152671273244,52247.0,0.044666398620749614,23.606277,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
969,81,82,57,63,241,361,412,530,601,613,538,556,923,931,815,817,890,899,690,678,766,772,678,725,1350,1423,0.47912386,0.797251,4.0,4.0,3830.0,0.06302952722491693,36696.0,0.02606122975852509,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
970,61,39,45,42,259,344,338,476,505,519,458,442,648,667,522,450,595,539,381,367,606,544,440,353,1350,1423,0.6651679,0.972212,4.0,4.0,1448.0,0.11050962654207461,52833.0,0.06301906734685009,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
971,69,54,51,37,294,389,475,536,670,674,602,610,855,867,593,551,654,620,407,398,682,636,455,438,1350,1423,0.6933175,0.4796769,4.0,4.0,1411.0,0.06459775045664004,24126.0,0.023579629460519648,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
972,60,84,48,64,291,384,407,545,578,612,512,536,837,825,658,624,705,659,484,436,630,602,575,568,1350,1423,0.5486971,0.712235,4.0,4.0,2624.0,0.08521313079550998,42139.0,0.03892141408257146,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
973,102,114,52,57,384,457,535,591,756,802,696,692,1062,1082,870,761,823,898,628,634,814,816,1123,1025,1350,1423,0.62232596,0.48094302,4.0,4.0,1818.0,0.07161445564488568,43645.0,0.01901776270727904,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
974,34,26,36,34,287,398,363,457,540,604,465,486,796,825,779,732,818,792,634,581,747,713,114,50,1350,1423,0.8636706,0.8039011,4.0,4.0,2664.0,0.08475219745542187,42878.0,0.0561745634808645,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
975,34,26,36,34,287,398,389,450,520,549,476,501,796,825,779,732,818,792,634,581,800,734,114,50,1350,1423,0.7370161,0.34965408,4.0,4.0,1733.0,0.08135594862987632,37892.0,0.05142674132262171,21.509216,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
976,120,48,64,33,292,382,415,518,644,658,648,629,1017,1023,1122,1058,1198,1140,1153,993,1356,1266,121,29,1350,1423,0.48721468,0.7318866,4.0,4.0,2306.0,0.08755207273353513,80400.0,0.0957837095572922,38.607666,35.65758,"{""type"":""MultiPoint"",""coordinates"":[]}"
977,125,118,71,78,339,439,327,462,480,513,422,418,691,708,511,496,570,532,471,388,722,676,281,275,1350,1423,0.9949339,0.6678515,4.0,4.0,2507.0,0.09739133894018678,45756.0,0.04634039503439316,22.940628,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
978,73,52,33,42,200,344,254,381,321,375,326,337,626,630,452,363,461,385,304,206,390,300,76,25,1350,1423,0.56074315,0.3556837,4.0,4.0,2028.0,0.1543311382935686,79771.0,0.169066191684927,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
979,169,127,115,85,387,473,430,530,556,621,522,498,808,771,643,568,798,694,803,608,682,513,738,573,1350,1423,0.6226979,0.8553794,4.0,4.0,3544.0,0.14755709537128645,141811.0,0.086297826773313,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
980,169,127,115,85,387,473,452,547,600,636,592,571,808,771,643,568,798,694,803,608,982,780,738,573,1350,1423,0.6953247,0.899193,4.0,4.0,3805.0,0.14075695296486213,150015.0,0.07541718063547936,20.4524,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
981,376,299,206,178,261,381,336,487,550,549,480,496,879,920,1141,1057,1234,1225,1357,1179,1386,1344,645,577,1350,1423,0.913306,0.58081347,4.0,4.0,2174.0,0.094616159938599,96390.0,0.05322665125164401,61.360382,57.11721,"{""type"":""MultiPoint"",""coordinates"":[]}"
982,283,216,166,133,261,381,318,454,468,529,442,499,802,826,976,942,1058,1061,1232,1104,1174,1176,645,577,1350,1423,0.6309879,0.96414506,4.0,4.0,3550.0,0.09259457897892436,73526.0,0.05469183930494452,55.758064,47.363052,"{""type"":""MultiPoint"",""coordinates"":[]}"
983,283,216,166,133,261,381,326,437,450,505,423,465,802,826,976,942,1058,1061,1232,1104,1164,1196,645,577,1350,1423,0.6924807,0.9572426,4.0,4.0,3214.0,0.0879687716168487,66190.0,0.048216437692459264,58.158028,53.54297,"{""type"":""MultiPoint"",""coordinates"":[]}"
984,207,155,123,98,288,411,309,486,520,560,452,481,877,885,925,922,1063,1031,1024,901,1076,1086,331,303,1350,1423,0.99706143,0.80481434,4.0,4.0,3700.0,0.09781548607736176,74667.0,0.06095418381648011,48.085342,44.250313,"{""type"":""MultiPoint"",""coordinates"":[]}"
985,207,155,123,98,288,411,376,508,560,594,530,538,877,885,925,922,1063,1031,1024,901,876,858,331,303,1350,1423,0.95617014,0.874013,4.0,4.0,2716.0,0.08958768241799174,59765.0,0.04734033573934321,20.161934,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
986,117,80,60,34,259,344,363,495,490,547,432,450,746,767,856,750,890,861,791,680,560,490,440,353,1350,1423,0.7969485,0.8159461,4.0,4.0,1918.0,0.11353687482688074,72904.0,0.06940208759166172,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
987,102,66,46,37,259,344,412,475,544,596,456,459,741,767,661,603,700,680,605,531,455,454,440,353,1350,1423,0.8487124,0.95328414,4.0,4.0,1529.0,0.08694788439717416,38099.0,0.0434120893390541,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
988,262,212,148,115,294,389,513,608,716,716,655,680,1033,1013,1114,1043,1129,1108,982,1025,848,808,455,438,1350,1423,0.646378,0.49110526,4.0,4.0,1723.0,0.06475523660814167,37213.0,0.025583480636430064,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
989,78,58,62,58,294,389,330,456,520,515,469,445,831,846,766,708,843,739,643,588,688,666,455,438,1350,1423,0.46984068,0.8948681,4.0,4.0,1257.0,0.09401155851306679,49450.0,0.04374135833284343,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
990,371,324,212,201,291,384,436,568,602,632,548,548,999,1031,1109,1073,1172,1197,1150,1140,857,832,575,568,1350,1423,0.79947627,0.9439478,4.0,4.0,3184.0,0.06161772318077114,38351.0,0.023351814258926754,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
991,371,324,212,201,291,384,521,591,682,736,622,650,999,1031,1109,1073,1172,1197,1150,1140,983,928,575,568,1350,1423,0.91455805,0.9517954,4.0,4.0,2804.0,0.05424446906621876,31027.0,0.016991020715253734,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
992,125,118,71,78,339,439,380,488,514,577,440,458,691,708,511,496,570,532,471,388,514,488,281,275,1350,1423,0.969502,0.5893201,4.0,4.0,2853.0,0.08961846243148175,40943.0,0.03832681277911749,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
993,73,52,33,42,200,344,292,409,424,460,381,379,626,630,452,363,461,385,304,206,396,326,76,25,1350,1423,0.97404987,0.48778737,4.0,4.0,1892.0,0.14389599207875278,72394.0,0.1508934142568482,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
994,84,71,46,51,198,328,224,365,284,362,223,271,377,439,237,229,225,260,189,178,334,283,235,199,1350,1423,0.9773063,0.79156435,4.0,4.0,5152.0,0.12464650736621805,59843.0,0.09301747434333936,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
995,641,561,366,368,399,477,431,546,616,682,580,622,960,962,1174,1210,1294,1209,1522,1331,1450,1460,1270,1219,1350,1423,0.9632937,0.65231615,4.0,4.0,2213.0,0.0789735754582798,84869.0,0.028112281928586953,51.559998,47.07373,"{""type"":""MultiPoint"",""coordinates"":[]}"
996,534,482,318,292,399,477,411,562,580,612,567,600,1016,1052,1044,1086,1232,1244,1278,1222,1192,1176,1270,1219,1350,1423,0.79466146,0.6774308,4.0,4.0,3761.0,0.06335902726151962,48904.0,0.023175601827189467,38.955585,33.62324,"{""type"":""MultiPoint"",""coordinates"":[]}"
997,599,470,368,308,366,454,830,866,1144,1098,1196,1078,1310,1219,1107,888,1120,1059,1081,989,1916,1678,382,282,1350,1423,0.9060141,0.7099243,4.0,4.0,6075.0,0.08669835087662182,185721.0,0.035924044943431314,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
998,169,127,115,85,387,473,470,542,605,654,586,600,808,771,643,568,798,694,803,608,839,678,738,573,1350,1423,0.55610925,0.5115205,4.0,4.0,3436.0,0.1367878686951768,132151.0,0.07251729056665172,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
999,145,118,85,85,346,433,314,486,487,542,425,421,683,683,510,583,572,594,554,443,452,398,375,322,1350,1423,0.85183173,0.44797227,4.0,4.0,3572.0,0.11960292616237232,70111.0,0.07269655148835304,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1000,414,387,220,204,346,433,457,569,696,710,664,648,979,1020,1187,1184,1284,1348,1413,1276,1802,1780,375,322,1350,1423,0.49223652,0.8636245,4.0,4.0,2382.0,0.0653635478862298,54727.0,0.02181333504598742,57.221573,58.039078,"{""type"":""MultiPoint"",""coordinates"":[]}"
1001,376,299,206,178,261,381,373,483,558,574,472,506,879,920,1141,1057,1234,1225,1357,1179,1108,1042,645,577,1350,1423,0.9515324,0.94512093,4.0,4.0,2139.0,0.09368560107926005,89436.0,0.04751123168004488,47.079597,37.396328,"{""type"":""MultiPoint"",""coordinates"":[]}"
1002,376,299,206,178,261,381,354,500,576,562,524,532,879,920,1141,1057,1234,1225,1357,1179,1058,1002,645,577,1350,1423,0.7527413,0.619908,4.0,4.0,2141.0,0.09764198630982296,96280.0,0.05353462049964667,35.898407,30.537209,"{""type"":""MultiPoint"",""coordinates"":[]}"
1003,283,216,166,133,261,381,342,469,508,552,480,511,802,826,976,942,1058,1061,1232,1104,1132,1104,645,577,1350,1423,0.6334958,0.98405695,4.0,4.0,2815.0,0.08928671673659462,67866.0,0.049716595323353,47.412506,40.997448,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,207,155,123,98,288,411,389,500,531,572,516,517,877,885,925,922,1063,1031,1024,901,1182,1056,331,303,1350,1423,0.96659285,0.62423706,4.0,4.0,1957.0,0.09400504139690206,70676.0,0.04744831496646474,45.306435,36.777622,"{""type"":""MultiPoint"",""coordinates"":[]}"
1005,117,80,60,34,259,344,313,427,452,485,377,397,746,767,856,750,890,861,791,680,838,756,440,353,1350,1423,0.8908995,0.91974807,4.0,4.0,1906.0,0.10683359658006578,68216.0,0.06326956277710152,43.10367,31.392887,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,102,66,46,37,259,344,360,456,524,536,452,469,741,767,661,603,700,680,605,531,827,817,440,353,1350,1423,0.9908585,0.9833435,4.0,4.0,1575.0,0.0874717028117078,41165.0,0.04588266061752831,28.267612,24.380558,"{""type"":""MultiPoint"",""coordinates"":[]}"
1007,102,66,46,37,259,344,391,530,588,584,493,540,741,767,661,603,700,680,605,531,938,867,440,353,1350,1423,0.9894896,0.93947405,4.0,4.0,1857.0,0.10161745464355604,58003.0,0.0564639335677573,31.32573,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,111,92,77,66,296,374,398,493,552,577,496,490,725,742,636,629,728,681,590,586,902,850,622,447,1350,1423,0.7553763,0.9723832,4.0,4.0,1543.0,0.1008099794774242,57473.0,0.04774870432401012,27.78878,24.045074,"{""type"":""MultiPoint"",""coordinates"":[]}"
1009,111,92,77,66,296,374,422,482,583,556,482,487,725,742,636,629,728,681,590,586,890,838,622,447,1350,1423,0.97635365,0.93449235,4.0,4.0,1269.0,0.09607815620487134,52141.0,0.0422645391700473,28.98653,23.399666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,199,166,109,103,296,374,384,484,586,587,484,498,744,768,666,703,810,746,723,650,893,858,622,447,1350,1423,0.9699526,0.96016026,4.0,4.0,1751.0,0.10455250890520275,65955.0,0.05160807170125975,28.925694,23.499645,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,299,236,152,135,296,374,409,517,610,650,572,589,914,947,944,932,987,1004,939,918,1208,1260,622,447,1350,1423,0.7002904,0.8372643,4.0,4.0,2823.0,0.08453171317607132,64516.0,0.04397764655021438,39.29762,40.260376,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,299,236,152,135,296,374,462,576,690,717,624,656,914,947,944,932,987,1004,939,918,1342,1324,622,447,1350,1423,0.7566384,0.9072687,4.0,4.0,2482.0,0.08318184408038419,63332.0,0.042284915578969656,40.65778,35.868523,"{""type"":""MultiPoint"",""coordinates"":[]}"
1013,262,212,148,115,294,389,500,619,728,748,675,690,1033,1013,1114,1043,1129,1108,982,1025,1414,1394,455,438,1350,1423,0.5947129,0.8614448,4.0,4.0,2251.0,0.06317651317903948,41149.0,0.025902093823924697,38.68756,35.943913,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,78,58,62,58,294,389,405,498,588,602,514,520,831,846,766,708,843,739,643,588,774,747,455,438,1350,1423,0.87997776,0.9840762,4.0,4.0,1296.0,0.08439418281395854,42099.0,0.03343710892769048,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,371,324,212,201,291,384,463,588,648,678,598,602,999,1031,1109,1073,1172,1197,1150,1140,1422,1448,575,568,1350,1423,0.7101744,0.95021045,4.0,4.0,3446.0,0.05397672069999028,36619.0,0.019367549628355737,48.00685,48.826225,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,371,324,212,201,291,384,526,594,717,730,673,678,999,1031,1109,1073,1172,1197,1150,1140,1480,1486,575,568,1350,1423,0.79681563,0.9255377,4.0,4.0,2465.0,0.04405286087356127,24256.0,0.013360052529531551,42.31253,42.064217,"{""type"":""MultiPoint"",""coordinates"":[]}"
1017,27,35,46,36,287,398,363,492,559,563,502,513,814,795,754,732,831,781,668,588,789,744,114,50,1350,1423,0.815702,0.35881233,4.0,4.0,1797.0,0.09429137035834115,50458.0,0.06466668023093886,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1018,256,242,162,147,313,404,319,457,480,508,457,472,798,784,772,748,877,800,870,793,916,836,775,701,1350,1423,0.9803443,0.8992479,4.0,4.0,1695.0,0.09297500548544256,58590.0,0.04315250048686188,35.340424,25.70214,"{""type"":""MultiPoint"",""coordinates"":[]}"
1019,268,241,178,132,346,433,388,472,538,578,470,507,850,862,837,791,947,939,964,886,900,746,375,322,1350,1423,0.9983431,0.9823475,4.0,4.0,1672.0,0.09382159471750902,60701.0,0.041174961608702085,31.824234,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,268,241,178,132,346,433,430,546,641,632,585,628,850,862,837,791,947,939,964,886,1354,1232,375,322,1350,1423,0.88427496,0.7074585,4.0,4.0,1589.0,0.08331416001950843,57230.0,0.03497119901986447,46.058342,33.693245,"{""type"":""MultiPoint"",""coordinates"":[]}"
1021,161,157,94,80,261,381,364,452,539,560,483,499,856,856,900,833,890,966,843,809,842,803,645,577,1350,1423,0.66772425,0.76281804,4.0,4.0,2524.0,0.0804745157515897,45948.0,0.03475740453776161,24.438522,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1022,162,140,108,83,288,411,307,444,496,506,462,477,846,865,949,852,1026,960,970,885,1214,1138,331,303,1350,1423,0.94054013,0.44081536,4.0,4.0,1773.0,0.09401186054353201,68572.0,0.05096687330628099,55.02114,48.24208,"{""type"":""MultiPoint"",""coordinates"":[]}"
1023,162,140,108,83,288,411,367,478,544,578,505,542,846,865,949,852,1026,960,970,885,1080,976,331,303,1350,1423,0.9616628,0.931197,4.0,4.0,1835.0,0.09571699100159624,69364.0,0.04718115148121461,40.23924,27.012383,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,87,91,48,71,288,411,376,518,596,634,536,540,867,899,740,696,791,757,555,547,774,722,331,303,1350,1423,0.5699731,0.91478664,4.0,4.0,3245.0,0.08938938675355955,50295.0,0.044431282699214675,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,79,79,60,70,288,411,450,523,686,708,604,596,932,922,829,746,827,784,602,600,833,759,331,303,1350,1423,0.45490167,0.5453823,4.0,4.0,1309.0,0.08073910307246963,41537.0,0.032187912156789726,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026,132,149,80,70,291,384,434,533,628,650,556,582,977,1002,1081,1000,1135,1146,1033,944,960,880,575,568,1350,1423,0.43004614,0.6770097,4.0,4.0,1843.0,0.07415474848726811,47005.0,0.026490391261361837,23.672398,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,42,34,42,29,287,398,387,474,568,586,506,511,841,823,813,747,888,818,713,606,812,756,114,50,1350,1423,0.9378279,0.57483757,4.0,4.0,1710.0,0.09513467589135693,54062.0,0.06139396798353058,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,42,34,42,29,287,398,378,484,562,576,522,508,841,823,813,747,888,818,713,606,866,773,114,50,1350,1423,0.8229301,0.65426254,4.0,4.0,1952.0,0.1017792378179377,63285.0,0.0667348321467511,20.463112,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,50,41,55,24,287,398,396,491,565,604,538,526,917,895,869,809,927,892,778,666,880,782,114,50,1350,1423,0.42830217,0.658972,4.0,4.0,1847.0,0.09656410809938959,60935.0,0.06966749168431444,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030,256,242,162,147,313,404,380,527,572,576,483,480,798,784,772,748,877,800,870,793,518,492,775,701,1350,1423,0.5350518,0.92543495,4.0,4.0,1567.0,0.09276685695284352,54447.0,0.040400360211691806,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1031,256,242,162,147,313,404,340,494,516,550,508,504,798,784,772,748,877,800,870,793,924,878,775,701,1350,1423,0.69715947,0.7594007,4.0,4.0,1801.0,0.09291747785525682,59141.0,0.043855905514244065,27.80391,24.38327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032,830,645,499,398,366,454,582,654,858,820,818,756,1465,1380,1531,1319,1646,1380,1654,1391,1484,1214,382,282,1350,1423,0.4555113,0.73456275,4.0,4.0,7800.0,0.10015813637653566,342965.0,0.04605758301562625,27.599304,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,519,443,320,261,453,522,400,497,570,640,558,609,1092,1144,1218,1127,1348,1293,1509,1419,1268,1188,976,778,1350,1423,0.7919106,0.9326649,4.0,4.0,2366.0,0.08836231423598727,103971.0,0.03845112729500078,44.72175,33.25836,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034,415,307,256,179,397,500,532,631,748,788,744,708,1168,1111,1204,1095,1309,1172,1369,1174,1224,971,599,477,1350,1423,0.61351144,0.9025384,4.0,4.0,4676.0,0.11244824994104147,197045.0,0.05942679352958725,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035,268,241,178,132,346,433,357,494,557,593,460,488,850,862,837,791,947,939,964,886,527,461,375,322,1350,1423,0.8784004,0.65351707,4.0,4.0,2256.0,0.08977241325933209,52165.0,0.045180013752105855,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036,268,241,178,132,346,433,362,476,518,574,486,516,850,862,837,791,947,939,964,886,948,916,375,322,1350,1423,0.9945069,0.99464864,4.0,4.0,2424.0,0.07960278290792969,45016.0,0.03641428040238681,33.253555,25.88145,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037,161,157,94,80,261,381,288,472,529,552,458,480,856,856,900,833,890,966,843,809,870,794,645,577,1350,1423,0.72773373,0.73739654,4.0,4.0,3536.0,0.10476914469503786,76631.0,0.06366538896747824,31.200058,20.227253,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038,161,157,94,80,261,381,346,490,538,592,476,477,856,856,900,833,890,966,843,809,854,825,645,577,1350,1423,0.6570203,0.96732056,4.0,4.0,3469.0,0.09119265486417379,60480.0,0.04616238812503321,26.721264,23.808388,"{""type"":""MultiPoint"",""coordinates"":[]}"
1039,200,155,128,101,261,381,359,490,510,540,486,498,861,829,887,887,1026,954,966,889,916,870,645,577,1350,1423,0.91455334,0.9036981,4.0,4.0,1965.0,0.09016987871552559,59565.0,0.0492457573836693,30.59161,24.608246,"{""type"":""MultiPoint"",""coordinates"":[]}"
1040,162,140,108,83,288,411,330,450,518,562,484,502,846,865,949,852,1026,960,970,885,937,892,331,303,1350,1423,0.7403496,0.9885952,4.0,4.0,1979.0,0.09350315083745614,62387.0,0.04778660540510976,32.670933,25.957298,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041,162,140,108,83,288,411,323,478,525,602,501,520,846,865,949,852,1026,960,970,885,872,842,331,303,1350,1423,0.770369,0.99238116,4.0,4.0,2862.0,0.10307278867996762,74917.0,0.058665771103622436,24.312542,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1042,87,91,48,71,288,411,417,546,600,636,530,538,867,899,740,696,791,757,555,547,681,656,331,303,1350,1423,0.60343444,0.90400773,4.0,4.0,3269.0,0.08292664660556472,44593.0,0.038438097530931574,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
