system:index,B11_S2A,B11_S2B,B12_S2A,B12_S2B,B1_S2A,B1_S2B,B2_S2A,B2_S2B,B3_S2A,B3_S2B,B4_S2A,B4_S2B,B5_S2A,B5_S2B,B6_S2A,B6_S2B,B7_S2A,B7_S2B,B8A_S2A,B8A_S2B,B8_S2A,B8_S2B,B9_S2A,B9_S2B,WVP_S2A,WVP_S2B,classProb_S2A,classProb_S2B,class_S2A,class_S2B,dist_emd,dist_sam,dist_sed,dist_sid,spc_S2A,spc_S2B,.geo
2476,104,63,74,50,205,310,288,385,370,444,381,381,752,716,763,683,888,718,842,622,883,696,267,87,1350,1423,0.9660068,0.98647076,4.0,4.0,4158.0,0.17287332448202092,185861.0,0.1852524062969883,46.153954,28.143951,"{""type"":""MultiPoint"",""coordinates"":[]}"
2477,104,63,74,50,205,310,300,382,420,439,399,414,752,716,763,683,888,718,842,622,772,624,267,87,1350,1423,0.99863833,0.4754144,4.0,4.0,4059.0,0.1644125077557673,165221.0,0.17171261778631908,32.62647,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2478,126,71,89,45,227,352,354,371,421,478,442,420,748,742,835,664,907,735,892,695,806,676,272,163,1350,1423,0.55237544,0.99332714,4.0,4.0,4154.0,0.1515361257039541,156388.0,0.11779842153723706,28.004166,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2479,126,71,89,45,227,352,328,451,502,529,474,447,748,742,835,664,907,735,892,695,950,758,272,163,1350,1423,0.9855452,0.9990578,4.0,4.0,4424.0,0.16315271142076887,188917.0,0.13767608321796784,35.33444,22.227188,"{""type"":""MultiPoint"",""coordinates"":[]}"
2480,128,68,92,49,227,352,346,444,530,542,493,492,841,769,826,702,933,794,881,709,1021,792,272,163,1350,1423,0.99897325,0.9772439,4.0,4.0,4338.0,0.14745373254958105,169939.0,0.11848227819366972,37.825073,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2481,128,68,92,49,227,352,389,474,496,525,484,486,841,769,826,702,933,794,881,709,952,742,272,163,1350,1423,0.9985247,0.9825524,4.0,4.0,4187.0,0.14589089532891664,159919.0,0.11633897263399934,33.895264,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2482,59,32,37,37,231,346,353,490,526,574,476,468,846,799,867,649,914,668,762,484,714,504,409,245,1350,1423,0.732959,0.9697936,4.0,4.0,5905.0,0.21189153293845514,298949.0,0.19122238179613057,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2483,59,32,37,37,231,346,358,490,524,558,474,493,846,799,867,649,914,668,762,484,786,561,409,245,1350,1423,0.7522868,0.8953102,4.0,4.0,5939.0,0.2107399692464988,303278.0,0.18829610011589856,20.425331,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2484,104,88,71,62,273,415,279,479,436,476,407,395,622,575,530,364,562,436,357,251,581,456,66,81,1350,1423,0.7425786,0.6877022,4.0,4.0,2603.0,0.19296859512523537,140301.0,0.1782893221705794,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2485,54,47,37,45,270,389,333,444,470,496,434,437,733,760,599,534,613,568,436,309,589,505,113,92,1350,1423,0.8713691,0.65533656,4.0,4.0,1775.0,0.12055099396124587,63214.0,0.07555145854510964,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2486,54,47,37,45,270,389,376,499,492,530,438,461,733,760,599,534,613,568,436,309,505,470,113,92,1350,1423,0.9487891,0.52798307,4.0,4.0,2363.0,0.11642794045903627,61479.0,0.07192636446870829,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2487,148,112,104,75,308,409,344,450,470,514,462,450,843,861,970,874,1094,1019,1106,987,1158,1076,569,440,1350,1423,0.8862469,0.99885404,4.0,4.0,2279.0,0.0976632000139165,83674.0,0.05200416954730076,51.742073,48.40293,"{""type"":""MultiPoint"",""coordinates"":[]}"
2488,222,143,121,83,236,330,380,474,509,557,496,475,789,806,935,816,1037,932,1178,960,1244,1036,386,255,1350,1423,0.7203384,0.99802977,4.0,4.0,3877.0,0.12953567624244994,166855.0,0.08443768240163446,51.78602,41.701973,"{""type"":""MultiPoint"",""coordinates"":[]}"
